2024 RANK,2023 RANK,COMPANY,CITY, STATE, USDOT, EXECUTIVE,TITLE,WEBSITE,PRIMARY OPERATION,CARRIERS,2023 REVENUE, LEASED TRUCKS, OWNED TRUCKS,TOTAL TRUCKS, LEASED TRACTORS, OWNED TRACTORS,TOTAL TRACTORS, LEASED TRAILERS, OWNED TRAILERS,TOTAL TRAILERS, COMPANY DRIVERS, INDEPENDENT CONTRACTORS,TOTAL DRIVERS
1,1,FedEx Corp.,Memphis,TN,,Frederick W. Smith,"Chairman, Pres., & CEO",www.fedex.com,Packages,FedEx Express/FedEx Freight/FedExGround/FedEx Supply Chain/FedEx Custom Critical,"61,227,000,000","83,986","31,041","115,027","18,707","19,783","38,490",0,"137,533","137,533",,,"194,255"
2,2,"UPS/United Parcel Service, Inc.",Atlanta,GA,,Carol B. Tomé,CEO,www.ups.com,Packages,UPS/Worldwide Dedicated Services/UPS Cartage/UPS Supply Chain Inc.,"59,958,000,000",10,"104,349","104,359",0,"19,647","19,647",0,"92,588","92,588",,,"129,103"
3,3,"J.B. Hunt Transport, Inc.",Lowell,AR,80806,"John N. Roberts, III",President and CEO,www.jbhunt.com,General Freight,,"12,830,000,000",362,776,"1,138","2,393","20,509","22,902",,"139,090","139,090",,,"26,977"
4,5,Knight-Swift Holdings,Phoenix,AZ,,Adam Miller,CEO,www.knight-swift.com,General Freight,Swift Transportation Co./Knight Transportation Co./Bar-Nunn/Abilene Motor Express/TransMex/AAA Cooper/ Midwest Motor Express,"7,141,766,000",22,235,257,"1,907","24,679","26,586",412,"84,427","84,839",,,"27,545"
5,4,TFI International,Saint-Laurent,QC,,Alain Bédard,"Chairman of the Board, President & CEO",www.tfiintl.com,General Freight,ICS Courier/Loomis Express/Tforce Integrated Solutions/Clarke Transport/National Fast Freight/Vitran/Cavalier/Excel Transportation/Hercules/Hot Line Freight Systems/Kindersley/La Crete Transport/McMurray/Serv-U Expediting/Normandin/Tforce Freight/Tforce Freight Canada/Tripar Transportation/TST-CF Express/Besner/Boutin Couture/HWT/JCG/Laidlaw Carriers/Van Papineau International/TJS Express/Big Freight Systems/Boyd Companies/BTC East/BTC West/Central Oregon Truck Company/Coastal Transport/Contrans Flatbed Group/Contrans Intermodal-Gusgo/Contrans Intermodal-P&W/Contrans Tank Group/Contrans Vrac/Driving Force Decks/Durocher International/E.W. Wylie/EDGE Fleetway/GBT/GHL Transport/Golden International/Ho-Ro/JAF JAG/Kingsway Bulk/Laidlaw Carriers/Bulk Laser/Lone Star Transportation/Mirabel Logistics/Nordique/Piston Tank Sharp/SM Freight/Smokey Point Distribution/South Shore/T-Lane Transportation/TA Dedicated/TF Dedicated Logistics/TF Truckload & Logistics/The Roadmaster Group/Tombro/Tri-Line Carriers/TSH & CO/TST Expedited/TTL/Vedder/Westfreight Systems/Winalta/WTI Transport/AC Logistics Canada/Active Truck Transport/Auto Truck Transport/Axsun USA/Cavalier Logistics/Clarke North America/Cornerstone Logistics/Craler/DSN Chemical Transportation/FreightLine USA/Logikit/Pleasant Prairie Logistics/Quik X Logistics/Quiktrax Intermodal/SAF Logistics/Stream Logistics/Tforce Autogistics/Tforce Logistics/Tforce Logistics Canada Tforce LSM/Tforce Medical Logistics/Tforce Premier Distribution/TFWW/Unimark Truck Transport /Unity Courier Service,"7,521,167,000",69,230,299,"2,683","8,368","11,051",397,"33,374","33,771","25,005","7,411","32,416"
6,6,Schneider ,Green Bay,WI,,Mark Rourke,President & CEO,www.schneider.com,General Freight,"M&M Transport Services, Inc.","5,498,900,000",0,170,170,"3,023","9,644","12,667",0,"68,504","68,504",,,"14,457"
7,8,"XPO Logistics, Inc.",Greenwich,CT,241829,Mario Harik,CEO,www.xpo.com,General Freight,"XPO Logistics, Inc.","7,744,000,000",1,179,180,8,"9,747","9,755",45,"33,924","33,969","13,233",0,"13,233"
8,12,Ryder Supply Chain Solutions,Miami,FL,165420,J. Steven Sensing,"President, Global Supply Chain Solutions",www.ryderscs.com,Dedicated Contract Carriage,,"6,660,000,000",970,10,980,"8,530",150,"8,680","17,391","3,029","20,420",,,"13,420"
9,9,"Old Dominion Freight Line, Inc.",Thomasville,NC,107478,David S. Congdon,Executive Chairman,www.odfl.com,General Freight,"Old Dominion Freight Line, Inc.","5,866,151,788",0,160,160,0,"10,979","10,979",0,"45,935","45,935","11,272",0,"11,272"
10,7,"Landstar System, Inc.",Jacksonville,FL,,Jim B. Gattoni,President & CEO,www.landstar.com,General Freight,Landstar Ranger/Landstar Express America/Landstar Inway/Landstar Gemini/Landstar Ligon/Landstar Global Logistics/Landstar Canada,"5,303,322,000",270,0,270,"10,805",0,"10,805",0,"18,904","18,904",,,"11,629"
11,10,Estes Express Lines,Richmond,VA,,Webb Estes,President & COO,www.estes-express.com,General Freight,Estes Express Lines/GI Trucking/Estes Forwarding Worldwide/Estes Logistics/Big E Transportation/Estes Final Mile/Estes SureMove/Estes Truckload Management/EFW Warehousing,"5,078,491,000",0,819,819,0,"9,864","9,864",0,"38,664","38,664","10,309",0,"10,309"
12,11,Penske Logistics,Reading,PA,268015,Jeff Jackson,President,www.penskelogistics.com,Dedicated Contract Carriage,Penske Logistics/Epes Transport/Black Horse Carriers,"4,300,000,000",775,0,775,"7,913",0,"7,913","21,844",0,"21,844","10,898",92,"10,990"
